CustomerID,TotalOrders,TotalSpend,AvgOrderValue,StdOrderValue,TotalQuantity,AvgQuantity,UniqueProducts,FirstPurchase,LastPurchase,Country,CustomerTenure,AvgDaysBetweenOrders,IsUK,Recency,Frequency,Monetary,Segment,IsHighValue
12346,1,77183.6,77183.6,0.0,74215,74215.0,1,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,0,0.0,1,326,1,77183.6,💼 Loyal Regulars,1
12347,7,4310.0,23.681318681318682,23.28990231050118,2458,13.505494505494505,103,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,365,52.142857142857146,0,2,7,4310.0,🏆 VIP Champions,1
12348,4,1797.24,57.97548387096774,48.51485730087981,2341,75.51612903225806,22,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,282,70.5,0,75,4,1797.24,💼 Loyal Regulars,1
12349,1,1757.55,24.076027397260273,34.655912704589504,631,8.643835616438356,73,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0,0.0,0,19,1,1757.55,💼 Loyal Regulars,1
12350,1,334.4,19.670588235294115,7.275538185065964,197,11.588235294117647,17,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0,0.0,0,310,1,334.4,🆕 New Customers,0
12352,8,2506.04,29.482823529411764,51.68790029756352,536,6.305882352941176,59,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,260,32.5,0,36,8,2506.04,🏆 VIP Champions,1
12353,1,89.0,22.25,12.215427404174878,20,5.0,4,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,0,0.0,0,204,1,89.0,🆕 New Customers,0
12354,1,1079.4,18.610344827586207,8.679742086377074,530,9.137931034482758,58,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0,0.0,0,232,1,1079.4,🆕 New Customers,0
12355,1,459.4,35.33846153846154,29.70352219466962,240,18.46153846153846,13,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,0,0.0,0,214,1,459.4,🆕 New Customers,0
12356,3,2811.43,47.65135593220339,48.5722968956169,1591,26.966101694915253,53,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,302,100.66666666666667,0,23,3,2811.43,💼 Loyal Regulars,1
12357,1,6207.67,47.38679389312977,39.564761618762496,2708,20.671755725190838,131,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0,0.0,0,33,1,6207.67,💼 Loyal Regulars,1
